,identity_anchor_scores,separability_anchor_scores,speed_anchor_seconds,precision_scores
0,"(50.0, 5, 10)","(14, 10, 100, 14.0)",0.3924214839935303,0.9821836593716078
1,"(50.0, 5, 10)","(22, 10, 100, 22.0)",1.7786080837249756,0.972625886011248
2,"(70.0, 3, 10)","(30, 10, 100, 30.0)",2.4819605350494385,0.994059405940594
3,"(70.0, 3, 10)","(12, 10, 100, 12.0)",0.44764697551727295,0.996009553655405
4,"(0.0, 10, 10)","(90, 10, 100, 90.0)",0.06706643104553223,1.0
