,ciu_Dataset,ciu_Fidelity,ciu_Identity,ciu_Separability,ciu_Speed
0,0,0.05,0.0,0.0,1.105863094329834
1,1,0.1,19.047619047619047,0.0,1.4891698360443115
2,2,0.0,100.0,0.0,0.819695234298706
3,3,0.0,6.25,0.0,1.245967149734497
4,4,0.3,0.0,0.0,2.8849098682403564
5,5,0.15,14.285714285714285,0.0,0.8646869659423828
6,6,0.0,13.513513513513514,0.0,2.9069173336029053
7,7,0.0,19.047619047619047,0.0,1.4987099170684814
8,8,0.0,25.0,0.0,1.5758180618286133
9,9,0.1,0.0,0.0,0.8340091705322266
10,10,0.35,22.22222222222222,0.0,0.866253137588501
11,11,0.6,0.0,0.0,0.966594934463501
12,12,0.15,6.0606060606060606,0.0,2.6650309562683105
13,13,0.15,0.0,0.0,0.8406689167022705
14,14,0.85,50.0,0.0,0.90093994140625
15,15,0.8,0.0,0.0,0.700610876083374
16,16,0.3,0.0,0.0,0.6870970726013184
17,17,0.5,40.0,0.0,1.1307158470153809
18,18,0.0,100.0,0.0,2.9215166568756104
19,19,0.0,65.625,0.0,2.470400094985962
20,20,0.0,0.0,0.0,1.379267930984497
21,21,0.05,5.263157894736842,0.0,1.5387048721313477
22,22,0.05,3.4482758620689653,0.0,2.1852359771728516
23,23,0.25,0.0,0.0,1.5066721439361572
24,24,0.95,35.0,0.0,1.470416784286499
25,25,0.55,25.0,0.0,0.6566879749298096
26,26,0.2,9.523809523809524,0.0,1.5114052295684814
27,27,0.05,0.0,0.0,1.3911528587341309
28,28,0.55,0.0,0.0,0.7637710571289062
29,29,0.5,100.0,0.0,1.8995089530944824
30,30,0.7,0.0,0.0,0.7178738117218018
31,31,0.2,12.5,0.0,0.8535537719726562
32,32,0.2,0.0,0.0,0.7825827598571777
33,33,0.6,0.0,0.0,0.8108260631561279
34,34,0.05,9.523809523809524,0.0,1.5431931018829346
35,35,0.25,10.0,0.0,0.934581995010376
36,36,0.7,0.0,0.0,2.328150987625122
37,37,0.9,21.21212121212121,0.0,2.5233700275421143
38,38,0.1,0.0,0.0,0.705988883972168
39,39,0.45,0.0,0.0,0.7400169372558594
40,40,0.1,5.405405405405405,0.0,2.9329209327697754
41,41,1.0,100.0,0.0,1.5964398384094238
42,42,0.55,0.0,0.0,0.8842971324920654
43,43,0.3,0.0,0.0,0.8325700759887695
44,44,0.0,100.0,0.0,2.7490618228912354
45,45,0.7,100.0,0.0,0.6862752437591553
46,46,0.75,0.0,0.0,2.25836181640625
47,47,0.05,0.0,0.0,1.1629788875579834
48,48,0.15,0.0,0.0,2.9542438983917236
49,49,0.75,35.714285714285715,0.0,1.1383628845214844
